PLT_CN,CONDID,MOG
14548217020004,1,1
14548218020004,1,1
14548220020004,1,1
14548221020004,1,1
14548222020004,1,1
14548223020004,1,1
14548225020004,1,1
14548229020004,1,1
14548237020004,1,0
14548239020004,1,0
14548242020004,1,2
14548243020004,1,1
14548253020004,1,1
14548263020004,1,2
14548264020004,1,1
14548265020004,1,1
14548267020004,1,1
14548268020004,1,1
14548274020004,1,2
14548276020004,1,1
14548277020004,1,2
14548288020004,1,2
14548290020004,1,2
14548291020004,1,1
14548301020004,1,1
14548304020004,1,2
14548306020004,1,1
14548307020004,1,1
14548309020004,1,0
14548316020004,1,1
14548317020004,1,1
14548321020004,1,0
14548322020004,1,1
14548364020004,1,0
14548367020004,1,2
14548385020004,1,0
14548391020004,1,2
14548398020004,1,0
14548399020004,1,0
14548401020004,1,2
14548403020004,1,1
14548404020004,1,2
14548412020004,1,2
14548415020004,1,2
14548424020004,1,0
14548439020004,1,1
14548440020004,2,2
14548464020004,1,0
14548465020004,1,0
14548465020004,2,0
14548468020004,1,1
14548469020004,1,1
14548501020004,1,0
14548514020004,1,2
14548515020004,1,1
14548518020004,1,2
14548522020004,1,0
14548523020004,1,2
14548527020004,1,2
14548537020004,1,0
14548538020004,1,0
14548550020004,1,2
14548568020004,1,0
14548571020004,1,1
14548580020004,1,0
14548599020004,1,2
14548606020004,1,2
14548607020004,1,2
14548608020004,1,2
14548613020004,1,0
14548644020004,1,2
14548645020004,1,0
14548647020004,1,0
14548647020004,2,0
14548655020004,1,2
14548656020004,1,1
14548657020004,1,0
14548658020004,1,1
14548659020004,1,0
14548662020004,1,2
14548664020004,1,0
14548668020004,2,1
14548670020004,1,2
14548671020004,1,1
14548672020004,1,1
14548675020004,2,0
14548683020004,1,1
14548691020004,1,0
14548697020004,1,1
14548708020004,1,1
14548715020004,1,2
14548737020004,1,0
14548737020004,2,0
14548740020004,1,2
14548750020004,1,0
14548760020004,1,2
14548761020004,1,1
14548762020004,1,2
14548767020004,1,2
14548767020004,2,0
14548768020004,1,0
14548773020004,1,0
14548784020004,1,1
14548788020004,2,1
14548789020004,1,1
14548792020004,1,0
14548793020004,1,1
14548794020004,1,0
14548797020004,1,0
14548798020004,2,1
14548800020004,1,1
14548801020004,1,1
14548809020004,1,1
14548810020004,1,1
14548811020004,1,1
14548812020004,1,1
14548815020004,1,2
14548818020004,1,1
14548820020004,1,1
14548825020004,2,1
14548832020004,1,1
14548833020004,1,1
14548835020004,1,0
14548836020004,1,2
14548836020004,2,0
14548838020004,1,1
14548839020004,1,1
14548840020004,1,0
14548841020004,1,2
14548842020004,1,1
14548843020004,1,1
