CN,HABTYPCD,PUB_CD,SCIENTIFIC_NAME,COMMON_NAME,VALID,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE
1.97237E+14,CRG112,653,ABMAS/CAIN4,Shasta red fir/long-stolen sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDF341,653,PSME/TRLA2,Douglas-fir/starflower,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDH525,653,PSME/CACH,Douglas-fir/chinquapin,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS643,653,PSME/SYMO,Douglas-fir/creeping snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDF342,653,PSME/CHUM,Douglas-fir/prince's pine,Y,RWANEK,5/6/2013 9:20,20004,FS_NIMS_SRS,5/5/2021 11:13,67572
1.97237E+14,CDS210,653,PSME/HODI,Douglas-fir/oceanspray,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS633,653,PSME/SYAL,Douglas-fir/common snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS645,653,PSME/CEPR,Douglas-fir/mahala mat,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDG111,653,PSME/CAGE,Douglas-fir/elk sedge,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS141,653,PSME/ARPA,Douglas-fir/greenleaf manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CDS673,653,PSME/PUTR,Douglas-fir/bitterbrush,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPC731,653,PIPO-CADE3/SYAL,ponderosa pine-incense cedar/common snowberry,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPC732,653,PIPO-CADE3/CEPR,ponderosa pine-incense cedar/mahala mat,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPC733,653,PIPO-CADE3/ARPA,ponderosa pine-incense cedar/greenleaf manzanita,Y,RWANEK,5/6/2013 9:20,20004,,,
1.97237E+14,CPC734,653,PIPO-CADE3/PUTR,ponderosa pine-incense cedar/bitterbrush,Y,RWANEK,5/6/2013 9:20,20004,,,
