EMAP_HEX,EPA2_code,NA_L2NAME
8185,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8186,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8187,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8188,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8189,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8190,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8278,5.2,MIXED WOOD SHIELD
8279,5.2,MIXED WOOD SHIELD
8280,5.2,MIXED WOOD SHIELD
8281,5.2,MIXED WOOD SHIELD
8282,5.2,MIXED WOOD SHIELD
8283,8.1,MIXED WOOD PLAINS
8284,8.1,MIXED WOOD PLAINS
8285,8.1,MIXED WOOD PLAINS
8286,8.1,MIXED WOOD PLAINS
8289,8.2,CENTRAL USA PLAINS
8291,8.2,CENTRAL USA PLAINS
8292,8.2,CENTRAL USA PLAINS
8293,8.2,CENTRAL USA PLAINS
8294,8.2,CENTRAL USA PLAINS
8295,8.2,CENTRAL USA PLAINS
8296,8.2,CENTRAL USA PLAINS
8297,8.2,CENTRAL USA PLAINS
8298,8.2,CENTRAL USA PLAINS
8299,8.2,CENTRAL USA PLAINS
8300,8.2,CENTRAL USA PLAINS
8301,8.2,CENTRAL USA PLAINS
8302,8.2,CENTRAL USA PLAINS
8303,8.2,CENTRAL USA PLAINS
8304,8.2,CENTRAL USA PLAINS
8305,8.2,CENTRAL USA PLAINS
8306,8.2,CENTRAL USA PLAINS
8307,8.2,CENTRAL USA PLAINS
8308,8.2,CENTRAL USA PLAINS
8309,8.3,SOUTHEASTERN USA PLAINS
8310,8.3,SOUTHEASTERN USA PLAINS
8311,8.3,SOUTHEASTERN USA PLAINS
8312,8.3,SOUTHEASTERN USA PLAINS
8313,8.3,SOUTHEASTERN USA PLAINS
8314,8.3,SOUTHEASTERN USA PLAINS
8315,8.3,SOUTHEASTERN USA PLAINS
8316,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8317,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8318,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8319,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8320,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8321,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8322,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8323,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8324,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8325,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8326,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8327,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8328,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8329,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8330,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8331,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8332,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8333,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8334,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8335,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8336,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8337,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8338,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8339,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8340,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8341,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8342,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8343,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8344,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8345,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8346,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8347,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8348,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8349,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8350,9.5,TEXAS-LOUISIANA COASTAL PLAIN
8440,5.2,MIXED WOOD SHIELD
8441,5.2,MIXED WOOD SHIELD
8442,5.2,MIXED WOOD SHIELD
8443,5.2,MIXED WOOD SHIELD
8444,5.2,MIXED WOOD SHIELD
8445,5.2,MIXED WOOD SHIELD
8446,8.1,MIXED WOOD PLAINS
8447,8.1,MIXED WOOD PLAINS
8448,8.1,MIXED WOOD PLAINS
8449,8.2,CENTRAL USA PLAINS
8450,8.2,CENTRAL USA PLAINS
8451,8.2,CENTRAL USA PLAINS
8452,8.2,CENTRAL USA PLAINS
8453,8.2,CENTRAL USA PLAINS
8454,8.2,CENTRAL USA PLAINS
8455,8.2,CENTRAL USA PLAINS
8456,8.2,CENTRAL USA PLAINS
8457,8.2,CENTRAL USA PLAINS
8458,8.2,CENTRAL USA PLAINS
8459,8.2,CENTRAL USA PLAINS
8460,8.2,CENTRAL USA PLAINS
8461,8.2,CENTRAL USA PLAINS
8462,8.2,CENTRAL USA PLAINS
8463,8.2,CENTRAL USA PLAINS
8464,8.2,CENTRAL USA PLAINS
8465,8.2,CENTRAL USA PLAINS
8466,8.2,CENTRAL USA PLAINS
8467,8.2,CENTRAL USA PLAINS
8468,8.2,CENTRAL USA PLAINS
8469,8.2,CENTRAL USA PLAINS
8470,8.2,CENTRAL USA PLAINS
8471,8.3,SOUTHEASTERN USA PLAINS
8472,8.3,SOUTHEASTERN USA PLAINS
8473,8.3,SOUTHEASTERN USA PLAINS
8474,8.3,SOUTHEASTERN USA PLAINS
8475,8.3,SOUTHEASTERN USA PLAINS
8476,8.3,SOUTHEASTERN USA PLAINS
8477,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8478,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8479,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8480,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS
8481,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
8482,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS
